,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
Gene_35,14.376683567905959,14.0801108366304,8.48797316086991,11.346380702580474,7.738422116530757,7.061151287135691,8.363395289967944,8.270998926155013,13.822761011966163,13.223038147237254
Gene_36,12.096232285590979,14.59345225258897,9.225433531080581,7.450330385556763,6.173984371914893,8.010533582011998,6.452637339704538,5.9218609736837005,11.029321967069233,8.64187449756447
Gene_37,10.645703425961436,6.913357207205566,11.769058596527607,7.155054472756598,7.780235937440361,12.417604221448768,10.59737895644712,8.348364128670193,10.429887825451935,11.939847028582426
Gene_38,14.121321214776291,10.807132133944538,7.326863788928809,12.466976307764966,12.777690175547075,7.00401314962654,13.20574219677886,9.649348547228264,12.797666620889451,7.3747821998826595
Gene_39,8.325802697176764,14.536971192916528,11.57815073149805,12.728778305015418,11.883743432206291,7.043041178484327,9.706887484465426,13.089638727117851,11.750351269093718,5.060278856532979
Gene_40,5.874077426528228,8.467947202135594,14.443655396185902,9.911904809745835,7.701762674303337,8.604237194537099,7.106526275540633,9.212000571700127,7.180354395494746,13.457525073029277
Gene_41,9.562705990415628,7.798020184357703,14.328916481414817,8.143513536291968,,5.4341809097027705,12.071150602676761,9.838890390346263,9.442210613279801,5.363233443519816
Gene_42,5.406831904913812,8.32753617061941,14.471195399074332,11.176599771146911,8.688748416809268,11.119770390549055,7.061315362852275,6.650664428280374,8.618172655313584,13.633533515404316
Gene_43,10.094017273502239,7.9690151605685555,14.502516250691507,13.159660896670598,8.229739428024262,,14.873510978303909,9.08660133745778,11.559231028884748,9.056531984512281
Gene_44,7.573481057405711,5.826526759998682,,7.714798535097453,8.986390796831396,6.8488603102530865,14.538184033144764,6.028798853811575,11.252085331388015,9.416973880462207
Gene_45,9.235180489765929,8.719917829242794,13.683147101724458,7.804769806468097,5.205761573936233,14.180970159591066,13.644802775736055,7.769017900460029,10.234875483250184,6.090881972643171
Gene_46,5.934270687610757,13.37466108433709,9.10265717569233,11.61716540202307,14.432005584771527,7.451305915614622,5.131598312908614,5.241484057837724,12.093856924031721,14.245518847934783
Gene_47,9.673302730128711,,,,11.521538737929415,7.329798966821063,12.745802045205735,,6.655599707287129,11.126822828089896
Gene_48,7.387834061426312,12.047785475555306,8.495185273919567,7.774239600073853,14.989184059727975,5.406161245584595,11.45822521683112,5.386995850122443,12.60210257919004,7.300899574982909
Gene_49,5.89831867072364,11.484497119090477,12.326012172929284,11.78095314918844,5.5190094713420725,7.943069455541561,9.51088346219875,7.871032897254965,13.105134562703709,6.311151051526968
Gene_50,11.121793616905919,,14.025565385988688,7.221570624850986,5.000818876136677,14.805973420619889,13.827129846973776,14.194724663276126,9.155035508376333,12.44615462156731
Gene_51,7.128314985691491,8.923040710839276,13.515480513871752,6.276122242180207,13.93865367873639,9.965079723751131,9.260956553725745,8.056463880931183,14.168487852727761,10.17623460761289
Gene_52,13.040263683334777,13.576517872810324,14.22382354591537,8.033807340330762,8.398108540443447,10.95073876347615,9.413241354594712,14.32842532619742,8.975640516334863,9.777780483752103
Gene_53,11.171860885532679,9.047394859737475,14.924784359251065,,7.2060331780720235,8.226551311236502,6.477228436396202,7.842192345315554,12.792452928594804,10.228920008852178
Gene_54,5.3395363612821996,14.826225851871888,11.160064775666468,5.589394786030209,11.611687717969804,8.78369370695234,6.356732971250723,10.636645928991928,12.270799505033303,11.711266044701217
Gene_55,7.475131535003564,10.248662214529077,10.376634440708694,12.168033641320369,8.59867348941067,12.977325951909393,11.279218488956,5.383316070185387,10.464790216690849,13.6191209543177
Gene_56,10.675741625552813,6.75828265455695,10.10376370347584,12.569458365293011,6.101051964454005,13.170990787402383,6.67481641163061,10.340764922160645,8.857434824367175,7.486237675113557
Gene_57,11.474325130087323,5.373921087724394,12.60045806743645,10.26940638734371,13.757712105438529,10.2071831992135,5.350331685340482,6.43600968882142,12.956045886408273,9.919760488579481
Gene_58,9.418792714658586,8.184347813774934,7.845491982671304,14.65886312489754,9.329693307834276,13.840030326750169,11.481631232057744,13.584276462736598,13.524495447739875,14.563120277897015
Gene_59,11.97942236203094,13.053969353943662,12.331278954025816,11.052268359457806,12.173541338917317,12.15750411424833,5.409077930362977,10.161108355315026,12.926513607264745,7.4296218651000405
Gene_60,9.651479864740134,9.349857109603951,9.027871692842439,6.218395277674115,10.257115412701479,9.462483652703316,11.633927572776408,10.494130587824516,5.275429296521532,5.319179876057514
Gene_61,12.013598010182328,12.07581118559356,14.599391337244668,13.767046815038114,9.680596673872559,11.259065116851689,9.57181727696266,7.229462366677529,8.766769972563427,6.038842324646661
Gene_62,11.665271189949925,6.920301437139676,9.754677874911163,,5.316689306480873,6.517299500562121,7.98579184371718,14.418069644162545,14.088417961283305,6.620008408119606
Gene_63,14.811177732774778,12.50747525129421,10.399770829325977,14.31702882961486,13.80607142176593,8.913164925172572,11.563431959794316,11.473851455733437,8.269681858229646,6.793901746546659
Gene_64,9.668098774619786,7.632810363066591,8.550651263664026,14.541439688984596,9.611378705321695,11.848914654765899,8.362298947676539,14.958610784507721,11.587676060416673,6.960094657455839
Gene_65,5.98183998621467,14.43180571177083,14.447778322106275,11.213283754279312,5.169914993462433,7.25534884276488,13.012767841185259,13.754598293130373,,8.655206182774446
Gene_66,7.742250114580452,6.16970513766375,6.1574453594909695,14.526026984079639,13.086261147255003,6.647793605894931,7.070500498839331,11.555515506604268,12.646642151836309,13.103148452604476
Gene_67,6.633376913363829,14.841282880236973,7.278020658150265,10.894154331306973,10.8761575531881,14.6736188564268,11.57667443075158,10.849042663214956,10.187725786639767,12.646575380975301
Gene_68,6.06055260587625,5.020919011832275,14.524888677894637,9.986576795001858,8.283353788353908,8.680532600831057,13.038433161189259,8.823702124187516,,
Gene_69,13.440774627504414,5.762040640493524,9.811283275801364,9.668497102133887,7.643279793120579,14.436147449446574,14.050284578590507,9.435963019459075,,7.067831488967094
Gene_70,7.714918364634583,9.842197735214391,8.383771112187281,12.741360698004833,9.760266076350836,13.703705044434535,14.957817501352805,7.198359500012872,11.116713771751028,13.475023105281434
Gene_71,14.452366349450843,7.900864250483806,12.270427439463795,5.150161484170957,13.791424383895334,5.639385491146079,12.33395398669819,14.946103868676593,10.011897807926793,
Gene_72,10.946435828865248,11.241499797378907,11.680727373286471,6.726117421729011,13.98712692432408,11.209913675004785,5.435687045527368,11.840410647070062,6.96084046629,5.273407813194545
Gene_73,10.509532752332554,13.133136385809966,13.599411482826469,6.035209251491577,,12.1007522445797,7.945169940714894,14.713639986847536,7.786874700680468,5.699821893848797
Gene_74,10.192803611428264,11.943148861763579,7.44659787062635,8.38582202229957,10.636279830315697,13.866781657895102,12.473259059374143,7.095919591147807,7.51777070721103,10.238806891674935
Gene_75,12.68958694964864,11.187617781927369,10.013242663009157,10.971253398402421,12.560600291296605,10.370797938003442,13.97752744204037,14.470674904902781,14.153545066254917,12.54518340060022
Gene_76,7.463210039912228,8.852714460088876,7.799999510663507,11.576602410591049,,12.54391604904336,6.1350907840928235,12.753647628426917,10.859019746533354,13.353886871465
Gene_77,9.308756521307119,11.249644532088535,10.544121315655142,14.756712663530815,12.5547439141811,,6.740320905387204,14.041142168501333,7.058377826833102,11.500432567901568
Gene_78,14.364718529746943,7.235796302116915,7.259235407364153,13.518189104220248,13.276550259688847,8.517033529777047,7.650962886818449,6.273884722617627,14.879361031001444,13.353431008802664
Gene_79,13.993916049390368,10.13679326010407,6.143848322862739,5.525803384503093,8.305821028149493,14.203304329868399,14.475818351374471,,6.586791434705407,9.19923171111079
Gene_80,7.462429187001262,7.053497747283652,11.848258501106498,9.861116677197666,8.249096449758257,6.002144623348217,10.447633709916293,8.47025153066897,8.910958061504594,8.105087417947063
Gene_81,8.871952049195173,10.558595845777258,5.14143805597043,13.476469952234776,14.219198616289061,10.50529690458703,7.680211167846162,14.90239000214079,8.831940300064185,11.93655394290497
Gene_82,11.899525472450694,9.3430906465917,6.9915815733342255,14.665793758873916,5.636908593198707,9.851493878230468,7.207307097902794,7.939741322278114,13.285273221945307,8.672655629829176
Gene_83,5.833482697088479,6.963090051219853,13.603734102651812,14.770288500601701,7.6798216061637365,11.754089877031893,5.811989974997908,12.234655918313482,9.16436612400459,14.181599182878918
Gene_84,8.115361699533404,14.41466997405525,10.032474270825047,8.488929240337493,11.470195951367085,7.497462033111261,7.297635973495151,6.963464446247616,14.598995638258105,9.929137276185735
Gene_85,12.516149628649933,9.739918813306616,10.87540160067117,10.841389811359987,14.798863079173877,11.68433124179122,7.397694715714404,5.151976591637749,7.186821396747129,9.555196422979567
Gene_86,8.934203367264807,13.123262393163492,12.855567550012525,5.89095967913416,14.52010724969194,,10.964039628598135,9.050567713073344,11.495009556955038,13.71326303499465
Gene_87,11.739359668194995,14.700985438195028,12.0112224966202,13.217207364459764,5.450395838188344,11.726985139975504,11.547526444539162,6.017460509816237,13.423874960636102,11.141724039011308
Gene_88,5.983280903849329,10.944671187226835,9.784158483289744,7.332935698878053,,8.655672811857617,11.198510774700761,8.292791334872927,8.072546525155722,12.511212421236493
Gene_89,12.586246475558129,12.187658354791752,6.011819541051889,10.161659569719435,10.577986603652183,12.448045269403941,14.031777222608673,8.69038866038102,9.286634723390796,12.3276749239863
Gene_90,11.626364186702071,10.578699009183914,8.501396320029524,6.953523465571085,6.83807372007764,,5.812008498860887,13.457982236337457,,5.607396229484484
Gene_91,,7.2327047435356455,7.6812443031128455,6.944978395444257,14.675010598827932,6.125400861683046,12.221632421646765,14.320887430439107,11.680012953223041,13.587266094526644
Gene_92,7.4244710191325165,11.739279785938585,12.008713399668178,9.583325126729758,,,13.948777911388328,,10.202904213134975,9.986882159956432
Gene_93,9.537276267000506,5.2164686285306585,10.351414000152166,9.22973233714264,6.575335961026365,6.190696983869307,9.493518783136615,,14.865798891004532,8.781209313069237
Gene_94,8.821091929511315,5.511263005366867,9.266723339526386,5.157454373132417,5.3009363333282895,8.390992331624046,13.209689477458776,9.588210799325964,5.148405792059877,6.632200316895749
Gene_95,12.39922721951798,12.38293737144718,12.545229064049133,8.516693761835352,8.522769470389784,13.02075667038983,8.98137885489165,12.271910050605632,10.8112300888118,8.643416795747092
Gene_96,5.800065200051291,6.161253764733608,13.895587233089042,9.52340510022385,14.940045389344354,8.638969484935057,7.499543046699327,8.505393198109877,8.430860969639927,11.373567316294647
Gene_97,5.127375636839061,12.632686372671516,9.16414625197045,9.322391936696519,9.811150151307366,9.492124487962183,9.97470899060395,8.459043103575247,9.533461368902774,9.046513356809648
Gene_98,10.182427179770787,11.232690848561278,7.41040607217525,10.084371488081445,10.946219192109039,5.1694831459010535,10.204937386572784,7.392932460265806,9.045385479446477,13.26530162357383
Gene_99,8.262355967604622,9.83216923749122,5.247411536601154,,11.397210930860819,8.151617745594077,7.057975061817966,7.906556798896501,14.543783068089432,5.868018222522782
Gene_100,9.633577635747146,5.583869036586245,10.386582412888192,6.460357369844477,11.340848052471737,7.643974624901212,11.909153889222626,8.47146059668729,5.04168488607576,7.948947090182449
